           Var. Name                       x0                        x                 Gradient
             MUE(01)       0.140042752547D+01       0.131320082240D+01       0.246546357793D-01
             MUE(02)      -0.684854732167D+00      -0.756090089559D+00       0.128202835609D+00
             MUE(03)      -0.837179006794D-01      -0.843444529401D-01      -0.804478657288D-02
             MUE(04)       0.201929398050D+01       0.201467774070D+01       0.171420847742D-01
             MUE(05)       0.528775588096D+01       0.525981208518D+01       0.763348238438D-01
        InvCDiag(01)       0.514076944156D+00       0.583219994513D+00       0.485276941715D+00
        InvCDiag(02)       0.979330831733D+00       0.858465083283D+00       0.120497921114D-01
        InvCDiag(03)       0.956900206698D+00       0.720839244720D+00       0.428916849139D+00
        InvCDiag(04)       0.636906436112D+00       0.595808589339D+00      -0.863143330033D-01
        InvCDiag(05)       0.701767132158D+00       0.657909728090D+00      -0.171792892372D+00
     InvCOffDiag(01)       0.157079632679D+01       0.173774759761D+01       0.164580373121D+00
     InvCOffDiag(02)       0.157079632679D+01       0.155726649122D+01      -0.294943784419D-01
     InvCOffDiag(03)       0.157079632679D+01       0.150040268841D+01      -0.143585896830D+00
     InvCOffDiag(04)       0.157079632679D+01       0.159278333555D+01      -0.246245701604D+00
     InvCOffDiag(05)       0.157079632679D+01       0.156690987672D+01      -0.920466347579D-01
     InvCOffDiag(06)       0.157079632679D+01       0.178362838657D+01       0.395080796856D-01
     InvCOffDiag(07)       0.157079632679D+01       0.154752783087D+01       0.114505359610D+00
     InvCOffDiag(08)       0.157079632679D+01       0.161215811031D+01       0.172204947590D+00
     InvCOffDiag(09)       0.157079632679D+01       0.149411458943D+01      -0.513253992801D-01
     InvCOffDiag(10)       0.157079632679D+01       0.130047601095D+01       0.645752456256D-01
         BD_beta(01)      -0.441654281956D+00      -0.479274995396D+00      -0.221085075377D-01
         BD_beta(02)      -0.190206441926D+01      -0.202491050038D+01       0.849905628811D-01
         BD_beta(03)      -0.547588946105D+00      -0.394429673205D+00      -0.185158208431D+00
         BD_beta(04)      -0.112741654310D+01      -0.106800394366D+01      -0.145868701297D+00
         BD_beta(05)       0.760921611947D+00       0.758407431317D+00       0.265770335813D-01
         BD_beta(06)      -0.494903358587D+00      -0.524424092738D+00       0.522868562922D-01
         BD_beta(07)       0.426133239866D+00       0.521378590818D+00      -0.248843427312D+00
         BD_beta(08)       0.569202339970D+00       0.628977888719D+00      -0.876796333128D-01
         BD_beta(09)       0.101822941318D+01       0.105237912111D+01      -0.359843772778D-01
         BD_beta(10)      -0.221315406062D+00      -0.259176792570D+00       0.637666673022D-01
         BD_beta(11)       0.746482005343D+00       0.714413468908D+00       0.685328954633D-01
         BD_beta(12)      -0.405554765872D+00      -0.380091731252D+00      -0.393873464924D-01
         BD_beta(13)      -0.473354271618D+00      -0.545363915709D+00       0.201431488120D+00
         BD_beta(14)      -0.119496428318D+01      -0.118781843496D+01      -0.585429730293D-01
         BD_beta(15)       0.207166802175D+00       0.189003163675D+00       0.452247303099D-01
         BD_beta(16)       0.583740577129D+00       0.555189358313D+00       0.159179517923D-01
         BD_beta(17)      -0.504953980835D+00      -0.514551394494D+00      -0.435160877696D-02
         BD_beta(18)      -0.431639760979D+00      -0.444240944136D+00       0.117605860069D-01
         BD_beta(19)      -0.302158508368D+00      -0.305606626348D+00      -0.159111122800D+00
         BD_beta(20)      -0.890968013156D+00      -0.906537006685D+00      -0.123245204809D+00
         BD_beta(21)       0.111812859932D+01       0.112546068817D+01       0.174757323251D-01
         BD_beta(22)       0.279139568000D+00       0.263770309088D+00       0.257486415073D-01
         BD_beta(23)      -0.499367684801D+00      -0.509834690551D+00       0.401536184731D-02
         BD_beta(24)      -0.828809308169D-01      -0.111398936958D+00      -0.627352728214D-02
         BC_beta(01)       0.508071497467D+00       0.501277462465D-01       0.423009886508D-01
         BC_beta(02)       0.138306808242D+01       0.120210948056D+01       0.426501294932D-02
         BC_beta(03)       0.661100274875D+00       0.490014205591D+00      -0.896050841827D-01
         BC_beta(04)      -0.888513352533D-01      -0.158771760955D+00      -0.730618671969D-01
         BC_beta(05)       0.140919134416D+00       0.134743447436D+00       0.396538976592D+00
         BC_beta(06)      -0.432834241622D+00      -0.399167984873D+00       0.455100617070D+00
         BC_beta(07)      -0.322217097460D+00      -0.341548099839D+00       0.396209663470D+00
         BC_beta(08)      -0.149417564710D+01      -0.140369140628D+01       0.727302984405D+03
         BC_beta(09)      -0.118123528328D+01      -0.118121857209D+01       0.270852835253D-01
         BC_beta(10)      -0.115051035581D+01      -0.126204367251D+01      -0.589810753616D-02
         BC_beta(11)      -0.287335613154D+01      -0.288288501865D+01       0.717666507396D-02
         BC_beta(12)       0.227763136928D+01       0.229509396723D+01      -0.949131009455D-01
         BC_beta(13)      -0.139789438864D+01      -0.136667442833D+01      -0.110802085332D+00
         BC_beta(14)      -0.807649755967D+00      -0.852264236476D+00       0.906618234754D-02
         BC_beta(15)       0.435328551574D+00       0.362325840171D+00       0.146666870730D-01
         BC_beta(16)      -0.164786770017D+01      -0.165810916732D+01       0.164559426451D-01
         BC_beta(17)       0.345431003330D-01       0.623438050904D-02      -0.722493795924D-02
         BC_beta(18)       0.546959897192D+00       0.492793628385D+00       0.121235520821D+00
         BC_beta(19)      -0.158400933932D+01      -0.158412143532D+01      -0.779209437164D-02
         BC_beta(20)      -0.113510865508D+01      -0.112957204252D+01      -0.592322539477D-01
         BC_beta(21)      -0.711144749211D+00      -0.728428664503D+00      -0.573592387493D-01
         BC_beta(22)       0.166810395817D+00       0.153679159961D+00       0.155056340762D-01
         BC_beta(23)       0.132312006794D-01      -0.680079975508D-01       0.242802388335D-01
        BD_CDiag(01)       0.787186849860D-03       0.129095081662D-01      -0.267333105814D-01
        BD_CDiag(02)       0.897416613211D+00       0.875244619311D+00      -0.244491741651D-02
        BD_CDiag(03)       0.946176839240D+00       0.816613621995D+00       0.170768803125D+00
        BD_CDiag(04)       0.999885338701D+00       0.995548397318D+00      -0.239958832467D+00
        BD_CDiag(05)       0.639721917413D-01       0.700006248213D-01       0.929088128681D-01
        BD_CDiag(06)       0.729603540386D-03       0.613964034341D-02       0.266868387820D-01
        BD_CDiag(07)       0.335123585373D+00       0.261018364426D+00       0.176740899580D+00
        BD_CDiag(08)       0.328934385294D+00       0.277236155569D+00       0.123300106509D-01
        BD_CDiag(09)       0.303697147155D+00       0.231320945117D+00       0.430180594164D+00
        BD_CDiag(10)       0.595960987517D+00       0.568037172582D+00       0.163897916606D+00
        BD_CDiag(11)       0.685957481160D+00       0.628815917868D+00       0.153367200064D+00
