            Variable                     Coef                 Gradient                     s.e.
MUE_01                 1.2991299775071106E+00   9.7100779984376023E-02   1.5339232396939191E-02
MUE_02                 2.2580831828409970E-01   4.9429734174264751E-02   1.3537208707203209E-02
MUE_03                 2.1038265859861163E+00   5.1070752837203449E-02   1.1747516819278938E-02
MUE_04                 1.1842700636777148E+00   1.3359702455081677E-02   2.7086355156595524E-02
MUE_05                 4.8895690532484677E+00   9.7086136206175656E-03   2.4499826911540620E-02
INVCDia01              5.9109152732573078E-01  -3.3387166517137179E-01   1.8468078427421107E-03
INVCDia02              8.8368569309845146E-01   1.3223033153031877E-01   2.6740989816671093E-03
INVCDia03              9.3788357291228053E-01  -7.8630565207517461E-02   2.6006673835287063E-03
INVCDia04              3.7527840323204370E-01  -1.2076979712951752E+00   2.0371985517862889E-04
INVCDia05              5.5082817419775565E-01   7.2507659788072179E-02   2.6923497939505907E-03
INVCOffDi01            1.6409025215652373E+00   2.6388026229963618E-01   2.7219587466531013E-03
INVCOffDi02            1.5057849742203904E+00   2.6662759774144493E-02   2.3038769471577670E-03
INVCOffDi03            1.7021446391705446E+00   2.2059642816171493E-01   2.7557209608125286E-03
INVCOffDi04            1.3479156652971118E+00  -1.5204803184955323E-01   4.3736862076223064E-03
INVCOffDi05            1.5770540331213225E+00  -1.2251430133657729E-01   5.4204386034122851E-03
INVCOffDi06            1.3714442200080355E+00  -2.7739823072474695E-01   3.5624553258168305E-03
INVCOffDi07            1.3798483934979258E+00  -3.5413554565133024E-02   4.9446138695118935E-03
INVCOffDi08            1.4790190811002100E+00   8.0783924780662653E-02   6.7206143407720744E-03
INVCOffDi09            1.4721197254345448E+00  -4.3141993419755768E-02   5.4383566677046555E-03
INVCOffDi10            1.5920077457716659E+00   1.6451382865334760E-01   2.1244365769187866E-03
  BC_beta01           -3.2834483692504163E-01  -3.5161108062644569E-01   3.3314708827165145E-03
  BC_beta02            2.9771211457205471E-01   2.7597649635617866E-01   3.3217408121182820E-03
  BC_beta03           -8.7006896082236007E-01   7.2311339527424068E-01   2.4346124006207892E-03
  BC_beta04            9.1188578777755247E-01  -5.8760860191037123E-01   2.2287540386834222E-03
  BC_beta05           -1.1295964858003014E+00  -4.1360514659238368E-03   4.4679539059806241E-02
  BC_beta06           -7.1502598307566445E-01   6.8051922903393858E-01   1.4894243555168198E-03
  BC_beta07           -7.5121043313043367E-01   2.4800458949751225E-01   1.7412754385334353E-03
  BC_beta08           -2.9626981428016093E+00  -1.0575939251884683E-02   2.5394994792001524E-02
  BC_beta09            1.4571054613734640E+00  -7.0758320257904725E-02   1.4944006833314850E-02
  BC_beta10            2.5548800895134499E-01   1.6848961479873373E-02   4.6009403738367337E-03
  BC_beta11           -7.5741818130907601E-01  -1.0341857499076804E-01   3.5898409720995952E-03
  BC_beta12            1.3948544654259434E+00  -2.5153679538823602E-02   3.6456106950419939E-02
  BC_beta13           -1.6856432010946143E+00   1.2692233337389839E-02   5.8439228110660366E-02
  BC_beta14           -4.5307333836759403E-02  -3.1749853803466656E-02   7.0971599410374724E-03
  BC_beta15            1.2557436773725461E-01   6.2974013865992476E-03   3.9287050167364501E-03
  BC_beta16            2.5171629896634040E-01  -1.5772341227717548E-02   2.5297937910509251E-03
  BC_beta17            7.1034455792194273E-01  -1.4271954982879403E-02   3.2718561011760672E-03
  BC_beta18           -7.3703528984300681E-01  -4.6895006272242900E-03   2.6111204463730251E-02
  BC_beta19            4.4102161621636000E-03   1.1723245977899224E-03   7.7882360166850267E-02
  BC_beta20           -1.4062119715069049E-01   5.0544875508953743E-02   8.8817258177711685E-03
  BC_beta21            5.3975997524700048E-01   2.5387714633642176E-02   2.5054636989776426E-03
  BC_beta22            1.0861307157501796E+00  -7.4425278566297048E-02   6.5392016994832766E-03
  BC_beta23            1.1341586608505458E+00  -1.5170139733535079E-01   4.5799863803663021E-03
  BC_beta24           -8.4081569712549820E-01  -1.2185143923788892E-01   1.0872766823918077E-02
  BC_beta25            9.7835695637305403E-02   7.2627418545224967E-03   4.9643973423707154E-02
  BC_beta26           -1.1917602148497810E+00  -1.7393025688630184E-02   7.2546208672248869E-02
 BC_CDiag01            5.5632478605525199E-02  -1.2411356971288329E-01   1.8263906109835177E-03
 BC_CDiag02            5.8050027869694620E-01  -3.2777269541542137E-01   2.8242262763619680E-03
 BC_CDiag03            2.7118149135761538E-01   6.6690956032405685E-02   1.9811286581988418E-03
 BC_CDiag04            9.9613069323849238E-02   1.7325154252216118E-01   2.1573791426342357E-03
 BC_CDiag05            3.9688370475955853E-01   3.3140684633124545E-01   2.4664491644886318E-03
 BC_CDiag06            8.6744205221247161E-01   5.9121298473963696E-03   5.2547297906510755E-03
 BC_CDiag07            3.9500733155594170E-01   3.4182241984743399E-03   7.4490236456488243E-03
 BC_CDiag08            1.3519426995677908E-01  -4.4642268465615878E-02   6.8543866928838732E-03
 BC_CDiag09            2.1952227782305864E-01   1.2345180833317307E-01   7.1181144608446064E-03
 BC_CDiag10            2.5967198422988497E-01   8.6394909023770075E-02   5.9498219187784510E-03
 BC_CDiag11            3.3948987311223339E-01   3.6251786383911435E-03   1.1293135069929287E-02
 BC_CDiag12            9.8996859935866688E-01  -7.0274115233917933E-03   4.3548230516071498E-02
 BC_CDiag13            3.2828059032299245E-01  -2.4166955055885662E-03   6.2909958727704940E-02
 BC_CDiag14            3.5469804378862846E-01   7.6008601344702293E-03   1.6957738378301310E-02
 BC_CDiag15            1.6610926204149326E-01  -7.0831679455246888E-01   1.5373980382758601E-03
 BC_CDiag16            1.4978903393491608E-01  -6.3344423627556468E-01   1.6404558455200098E-03
 BC_CDiag17            8.3082422385025911E-01   6.3516323295264004E-03   3.8861063042652166E-03
 BC_CDiag18            3.3373918611172654E-01   9.6056261828783102E-02   3.3618801118943287E-03
 BC_CDiag19            3.4918045829793870E-01  -1.6006052441044558E-01   2.5488720555668577E-03
 BC_CDiag20            9.9785898824790775E-01  -4.0493906507050809E-03   6.0467299736088704E-03
 BC_CDiag21            1.8197082873508477E-01   9.2124182159465196E-01   1.5850509637274986E-03
 BC_CDiag22            3.2304983540059373E-01   3.0027309104444243E-02   3.9976929944823495E-03
 BC_CDiag23            3.7216214086260724E-01  -6.6209258337304094E-02   5.8238065785044344E-03
 BC_CDiag24            9.1135916929866556E-01  -9.5801931565472551E-03   1.1785373252847613E-02
 BC_CDiag25            9.8960943892730902E-01  -5.7011553826711338E-02   1.2437341266793991E-02
 BC_CDiag26            9.9772617918595552E-01   2.7819265241637782E-02   1.1401397668049514E-02
 BC_CDiag27            2.6281601551961536E-01  -1.6475656750818683E-02   7.2959440068147818E-03
 BC_CDiag28            1.8107013735483993E-01   2.8195101972126250E-03   1.8690904465283965E-02
 BC_CDiag29            2.5421600377095305E-01  -1.1433634949192844E-02   1.9626226638756829E-02
 BC_CDiag30            9.7293394746362549E-01  -1.4808938717165796E-03   3.2719290052127904E-02
 BC_CDiag31            8.0239592674034221E-01   2.7978672262386137E-02   8.1797089805228252E-03
 BC_CDiag32            1.4498120240528706E-01   2.6108181005148081E-02   3.5166429616699381E-03
 BC_CDiag33            7.6550883299895053E-02   7.9650089038785676E-02   3.6026129546477027E-03
 BC_CDiag34            9.5745287609231722E-01  -1.6939710202253464E-02   8.6855701168593036E-03
 BC_CDiag35            5.6328373443174340E-01   4.6773680379530530E-02   7.0313293048672038E-03
 BC_CDiag36            3.2586988513590376E-01   1.1135073683490411E-02   4.6187524862853603E-03
 BC_CDiag37            9.7566272070037741E-01  -3.4853829636917917E-02   9.2169819472096987E-03
 BC_CDiag38            9.9545646640071317E-01  -2.4476676027364634E-02   4.4568839126411675E-03
 BC_CDiag39            9.9784701060553616E-01  -7.9521530668655587E-04   2.0440562680247304E-01
 BC_CDiag40            4.3706348350946739E-01   1.9199523295992109E-03   5.1242380606016803E-02
 BC_CDiag41            3.8804511733957009E-01  -1.4208845084782097E-03   8.4006911639531459E-02
 BC_CDiag42            6.7106332442950223E-01   5.3331940430952678E-02   2.3539282707891792E-02
 BC_CDiag43            2.9759223896120990E-01  -1.3117611095342428E-03   3.4936114175488600E-02
 BC_CDiag44            3.4259630505678657E-01   1.2458852315375007E-02   3.0274307464270536E-02
 BC_CDiag45            9.9805544075150154E-01  -4.3404878784398795E-03   6.3181154538105078E-02
 BC_CDiag46            2.9697700349349709E-01   1.0337179669869519E-02   1.7376273503060841E-02
 BC_CDiag47            7.0683058453058945E-01   2.1736705766766239E-02   1.5063518878056053E-02
 BC_CDiag48            3.3513370271709808E-01  -8.8342659424234929E-02   4.9433905695403860E-03
 BC_CDiag49            6.2422762833746492E-01   1.2547057345373359E-02   1.4218511807330416E-02
 BC_CDiag50            4.3852265681136893E-01  -2.7130340195747296E-02   6.5601720794608099E-03
 BC_CDiag51            6.9702187549062289E-01  -3.8654527009726477E-03   5.5574619909199699E-03
 BC_CDiag52            5.1270800224274116E-01  -8.2386302944260026E-02   4.5992039964391808E-03
 BC_CDiag53            6.9472709599988713E-01  -6.7334494171703604E-02   5.7383880968129471E-03
 BC_CDiag54            7.2660783704229692E-01   8.8655974976297722E-02   2.5239443682302525E-03
 BC_CDiag55            6.2143291636246933E-01  -9.3653141280353232E-03   4.8127414506865295E-03
 BC_CDiag56            8.2388933664517983E-01  -5.9076590982782132E-02   7.2342936940320013E-03
 BC_CDiag57            1.6210926777591966E-01  -1.2332581036863305E-02   7.2152308692829351E-03
 BC_CDiag58            8.0852000504239507E-01   7.5717932952528474E-02   5.0310437648943256E-03
 BC_CDiag59            3.2961947574099126E-01   1.1438579573607605E-02   5.2741432444303737E-03
 BC_CDiag60            8.1475819754982998E-02  -3.2914492537541702E-02   3.0465433621115830E-03
 BC_CDiag61            3.1254791350392902E-01   1.2523291338806397E-02   4.4462991085668412E-03
 BC_CDiag62            1.8070637585849363E-02  -9.0092842141588067E-02   1.9239928200768413E-03
 BC_CDiag63            1.7674180137316139E-01   5.1338555005155467E-02   1.2598961126205600E-02
 BC_CDiag64            3.9310679217002048E-01  -2.0411019928000117E-02   2.0427231236747421E-02
 BC_CDiag65            4.2492216137251759E-01  -2.8882964442753932E-03   2.4752741430614112E-02
 BC_CDiag66            3.1115675395355163E-01   1.2425401359455752E-02   4.2102640210566755E-02
 BC_CDiag67            2.9861479627045895E-01  -7.2879896994673728E-03   1.0103955422321291E-01
 BC_CDiag68            3.1340150846086212E-01   3.9163704536155450E-03   5.3950368950176145E-02
 BC_CDiag69            3.1349604087907817E-01   1.8494519025050438E-02   1.3913664609413162E-01
 BC_CDiag70            2.9657370710598646E-01   3.4361415801045266E-04   1.0065646612991770E-01
 BC_CDiag71            9.9783927067917433E-01  -7.7557721290152091E-04   2.4880339729511557E-02
 BC_CDiag72            5.1138707212491930E-01  -2.1567062800433058E-02   8.0920166796078514E-03
 BC_CDiag73            8.1671049581503556E-03   4.2432907039841199E-02   5.5304493227691905E-03
 BC_CDiag74            5.8420724761559950E-01   5.0804495972845226E-02   8.7444952592687242E-03
 BC_CDiag75            3.4986851123778867E-01   2.9516867361855714E-02   3.2435846415164336E-03
 BC_CDiag76            4.2155430596001220E-01  -6.0345611129043075E-02   2.4107729599454546E-03
 BC_CDiag77            1.4573220794147560E-02  -1.4001562971128004E-01   2.2585802246685490E-03
 BC_CDiag78            1.9989729944824419E-01  -9.0458341536865841E-02   2.5183473560209963E-03
 BC_CDiag79            5.5826522832503089E-01  -2.1998377316567015E-02   6.9234425894618397E-03
 BC_CDiag80            2.6388347376311783E-01  -1.9471020299565787E-02   6.6489130446026464E-03
 BC_CDiag81            3.6245687975083138E-02   2.2751609802379919E-03   7.4193611635800854E-03
 BC_CDiag82            3.2533321062126885E-01   3.1559468083748113E-02   5.5998683652347626E-03
 BC_CDiag83            6.9388208621087333E-01  -3.3184083472671280E-02   5.8178996062150604E-03
 BC_CDiag84            6.2498225950710129E-01  -5.0878729468000700E-03   7.2065084231506702E-03
 BC_CDiag85            2.6020638411378173E-02   2.0983476109525386E-02   5.7989801667485590E-03
 BC_CDiag86            6.8100833009526063E-01  -2.4334003360369814E-02   1.4313675664390012E-03
 BC_CDiag87            2.7516513504166712E-01   4.6508614336151527E-02   1.4133031973402961E-02
 BC_CDiag88            4.1624941469482740E-01   5.1854711986078980E-03   1.9101635142500788E-02
 BC_CDiag89            2.4299905676256237E-01  -7.3735685434190873E-02   9.7980490375881631E-03
 BC_CDiag90            1.6070072870887914E-01  -5.7513427707161331E-04   2.2652680351430525E-02
 BC_CDiag91            3.0333069564478304E-01  -6.1710401808639653E-03   2.0559101758792327E-02
 BC_CDiag92            3.0104578583069841E-01  -7.5440468507336601E-05   3.2490283468269397E-02
 BC_CDiag93            2.9720365944043547E-01   7.0032092511137329E-03   3.2219071901504713E-02
 BC_CDiag94            5.1813854148521288E-01  -7.0735560962812485E-03   2.8158847200171189E-02
 BC_CDiag95            3.1099929973518853E-01  -4.9643049914814925E-03   7.6882167454238939E-02
 BC_CDiag96            9.9837480327343586E-01  -8.9911930893628693E-03   1.4633606756022646E-01
 BC_CDiag97            1.4878969412274887E-01   3.4781473432604940E-04   4.6546761112936326E-02
 BC_CDiag98            2.9567713666081402E-01   4.8331884898723790E-05   1.1064493314884805E+00
BC_COffDi01            2.3285858083561162E+00  -7.2878526083793504E-03   1.3096208709770299E-03
BC_COffDi02            1.4522892410045660E+00   2.0013031353412699E-02   9.6547091843470628E-03
BC_COffDi03            2.6514686110053134E+00   1.1473788434618944E-02   1.4743698744095601E-02
BC_COffDi04            1.5390192983267053E+00   4.7497233553122797E-02   6.1236614876456104E-03
BC_COffDi05            1.0065852040126833E+00   1.5907449403889485E-02   2.8581080979841063E-03
BC_COffDi06            2.4079578704321949E+00  -6.0632709063574902E-02   1.0528603573367221E-02
BC_COffDi07            2.7976641095232875E+00  -2.4350210057404297E-02   2.6756746026492535E-02
BC_COffDi08            1.2848691395574496E+00  -1.8837512133369358E-02   3.1168096821902674E-02
BC_COffDi09            1.8458230300877219E+00  -4.3033563107342888E-02   9.5704825826301385E-03
BC_COffDi10            4.5220091829249831E-01  -2.3210242010605541E-03   5.4859375347684286E-02
BC_COffDi11            9.4414771974740763E-01  -5.2406400200319487E-03   1.9195644765871760E-02
BC_COffDi12            5.9411524370489142E+00   2.4001467661293417E-04   1.1857101945430640E-01
