            Variable                     Coef                 Gradient                     s.e.
MUE_01                 3.2843663513037775E+00  -1.4086334219631469E-01   2.8441871583915493E-02
MUE_02                 8.0795017826671900E-01  -5.4614357778080956E-02   2.3515684191891220E-02
MUE_03                -4.7182464882163684E+00  -3.0870812743633447E-02   4.7150053938287709E-02
MUE_04                -9.6039754248843128E+00   4.5666945672687989E-02   4.4392625828043784E-02
MUE_05                -1.8590789577579039E+00   1.6717831266667108E-02   5.9853956432887379E-02
INVCDia01              5.1064378695073998E-01  -4.5105185867648075E+01   3.8280284254509084E-04
INVCDia02              4.9912269936044795E-01  -6.5844299772843906E-01   2.1318021148491000E-04
INVCDia03              5.2219259880217739E-01  -1.9509973397308148E+01   3.8317792182486704E-04
INVCDia04              4.5107525126241177E-01  -2.7469911059178614E+01   4.4927854185717746E-04
INVCDia05              4.2335592077945716E-01  -2.7641234209305665E+01   5.3761706096434078E-04
INVCOffDi01            1.5194203028518403E+00  -2.7635423968572663E+01   3.9667226012502415E-04
INVCOffDi02            1.7968403852981858E+00  -3.3451467120428826E+00   8.4449515227188392E-04
INVCOffDi03            1.7926734161342097E+00  -2.9373281811449036E+01   9.1197936854705728E-04
INVCOffDi04            1.5182420156063690E+00  -2.8403036588830030E+01   1.0193313192308699E-03
INVCOffDi05            1.7219714208480346E+00  -1.4937609649794416E+01   1.1574846148633686E-03
INVCOffDi06            1.6011213421102188E+00  -1.6310046475730061E+01   8.6406464797205177E-04
INVCOffDi07            1.7698753319669773E+00  -3.0289481430781635E+01   8.7934148411758029E-04
INVCOffDi08            1.5883491443014870E+00   5.9024021295700191E-01   1.4094984718204455E-03
INVCOffDi09            1.6131936058614467E+00   2.6829004048692688E+00   8.4457051304886056E-04
INVCOffDi10            1.8216875573804567E+00   9.3036649121960269E-01   6.9142248687923454E-04
  BC_beta01            3.9999081675452275E+00  -1.1790451814492671E+00   2.7987840471735918E-03
  BC_beta02            5.6388671066277296E-01  -2.8950962315583921E+00   2.9864202464426376E-03
  BC_beta03            2.0805668954659069E+00   2.3123223708186078E+00   2.5109320760602114E-05
  BC_beta04            8.8695508554409297E-01  -2.9367307223321482E-01   3.5229026617394840E-03
  BC_beta05           -9.4807292127106879E-01   4.5567684757668453E-01   1.4607203275290072E-03
  BC_beta06            5.4104705798408259E-01   3.5804231833099984E+00   2.2805151144704799E-03
  BC_beta07            4.0463768206131423E+00  -2.6872622989401258E-03   2.4224756667945871E-01
  BC_beta08            4.5770021942658001E+00   8.0497121797336850E-05   1.6271643881976690E+01
  BC_beta09            4.0000437403393212E+00   3.3497142138054683E-03   2.8134912644634386E-01
  BC_beta10           -9.4246756606870992E-03   3.0816050613261742E-01   6.3322290307481471E-03
  BC_beta11            4.9989724744645470E+00   1.6606690970513792E-07   1.6262057478497996E+02
  BC_beta12            4.9989716120649614E+00  -2.6842488780914226E-07   1.3995451152609587E+03
  BC_beta13            2.0357655812110380E+00  -1.2281984419633607E-03   8.5854229779579766E-02
  BC_beta14            1.7244828588773453E+00  -3.7691245479180898E-03   5.6165247527796648E-02
  BC_beta15           -2.3746660679218459E-01  -1.5816810368268991E-01   2.1554511821199689E-03
  BC_beta16            1.1059490954646120E-01  -3.8839244474343820E-01   2.3857146175859782E-03
  BC_beta17           -3.2367667430929292E-01  -9.2055779104367186E-01   2.0099856692297620E-03
  BC_beta18           -1.2753117898702229E-01  -1.1433747940095960E+00   9.5671070696045322E-04
  BC_beta19           -8.0006054994484643E-01  -3.0528418315262579E-01   2.3688508062042505E-03
  BC_beta20            1.6419160868733307E+00   1.0152117138974644E-01   8.9121049688424808E-03
  BC_beta21            5.3437461290725841E-01  -3.2437760612818896E-02   3.5330988091026318E-03
  BC_beta22            6.7454027575815423E-01   2.3702701206001137E-01   1.3612108493288097E-04
  BC_beta23            8.9806884018582001E-01   7.5360179103549874E-01   2.3713535248261622E-03
  BC_beta24           -1.0536095032218271E+00  -1.4687355445807937E+01   2.1535679754031080E-03
  BC_beta25            2.4935447827399981E+00  -6.1259232879387462E-02   2.5013934380333818E-02
  BC_beta26            6.6518461631868653E-01   2.6477468307084695E-01   2.7656574954583887E-03
  BC_beta27            4.9999074706225688E+00  -1.0887318491203251E-06   9.2334889734688170E+02
  BC_beta28           -9.9401221455648725E-01   9.4624636821116388E-03   7.4808446842325460E-03
  BC_beta29            9.3794481244823702E-01  -3.0491214591484355E-03   2.6276446924218207E-02
  BC_beta30            8.2410257589482128E-01   2.7870021201355792E-03   1.0974926712673054E-02
  BC_beta31           -1.9240678415848340E+00  -8.1613575944778291E-03   1.3240711354456602E-02
  BC_beta32            4.9999090371243868E+00  -1.4534138821250106E-05   2.2459235340264394E+00
  BC_beta33            4.9999090652555402E+00  -7.8417494620227078E-05   2.8632068526918616E+01
  BC_beta34           -4.3893098602001651E-01   6.6789256943343464E-02   5.5791428436375119E-03
  BC_beta35            3.4125582135993953E+00  -9.2629682779616059E-05   1.2539554042443972E+00
  BC_beta36           -6.4287363660475305E-01  -6.7546247434755152E-02   3.2011266204374509E-03
  BC_beta37            2.9589248192278657E+00  -9.3006854941904502E-03   9.4872287086153001E-02
  BC_beta38           -1.7902273526577189E-01   1.8254895096289102E-02   3.9339497870041831E-03
  BC_beta39            3.2985868220568011E+00   3.3256154618659050E-03   3.0688746751420781E-01
  BC_beta40            4.1634572722594489E+00  -8.0844491891860707E-04   7.6347336125948440E-01
  BC_beta41            5.6472428052437518E-01   1.0561422415671273E-02   1.6962358677255662E-02
  BC_beta42            5.8891725622585345E-01   2.5853283089456947E-02   5.6732216176183783E-03
  BC_beta43            3.3394950536107642E+00  -7.8179005642748690E-05   1.9385475521101441E+03
  BC_beta44            4.0771956204020405E+00  -5.3039147878734014E-04   2.8964984334317228E+02
  BC_beta45            4.7814922217386133E+00  -4.0695981920431164E-03   8.5126381826578267E+01
  BC_beta46            3.9978403208147228E+00  -2.9544932037442875E-02   5.3016832459095674E+01
  BC_beta47            2.8335109614791225E+00  -1.0850544566943293E-02   2.8104696375669556E-02
  BC_beta48            1.3841641072486417E+00  -2.9327202531514496E-02   2.5700824628705071E-02
  BC_beta49            6.7227914994898574E-01   2.0366966575046411E-01   9.2062098302041345E-03
  BC_beta50            3.4665817900205720E-01   1.3847108320354690E-01   5.3643802327926482E-03
  BC_beta51            2.6479360797655351E+00  -1.3346143869777069E-02   3.6682746739959048E-02
  BC_beta52            1.8705195906558625E+00  -2.9273227203616223E-02   1.1556410371801674E-02
  BC_beta53            9.2779992034344472E-01   1.4157139421595870E+00   6.3706207749699541E-03
  BC_beta54            1.0227091441391187E+00  -3.1897563696366699E-01   2.4974793740724214E-03
  BC_beta55            1.2359855329714888E+00  -2.4515425216187987E+00   6.7177077924971745E-03
  BC_beta56            1.5627916370622486E+00   1.2024131456841741E-01   1.4595444427393245E-02
  BC_beta57           -3.2925128176028599E-02  -2.5808675545322362E+00   4.7506983023572766E-03
  BC_beta58           -5.0443589752632897E-02  -2.2353823030796846E-01   1.8751019360574168E-03
  BC_beta59            2.1770469118855971E+00  -2.1190613728183524E-02   2.1438744167007924E-02
  BC_beta60            4.2033390363255796E+00  -1.0694830681794550E-02   1.3359660934740475E-01
  BC_beta61            1.0427437831141446E+00   7.3229462474706233E-03   5.7603700177141981E-03
  BC_beta62            8.4822728488058419E-01   1.5747066726817088E-01   2.2197825823005628E-03
  BC_beta63            4.9999095084971854E+00  -2.5383606834028793E-06   8.0901045738165540E+03
  BC_beta64           -2.1784146830572221E-01   1.3310609763655652E-03   3.9413374150054359E-02
  BC_beta65            3.5819104223834577E+00   1.1534270110638979E-03   2.6228849493040647E+00
  BC_beta66            4.0000946225862686E+00  -3.1300388419632533E-05   2.6646116871322342E+01
  BC_beta67            3.6676257570861432E+00   1.8236941767360903E-05   6.0274285620020635E+01
  BC_beta68            4.9999095013624748E+00   4.1036101909225753E-07   2.2721238192446534E+04
  BC_beta69            4.9999094889147528E+00  -3.2957841565206428E-06   1.2161500458401741E+04
  BC_beta70            4.6802516986385356E+00  -6.0272320184418295E-07   2.3333170744025206E+03
  BC_beta71            8.5239584356242026E-01  -7.3872427577831310E-03   2.1416765149417039E-02
  BC_beta72           -4.3040241772538917E-01   1.4377908029764480E-01   4.4663381797246226E-03
  BC_beta73            8.4108250138683796E-02  -4.1440258978727641E-02   7.8881464957054389E-03
  BC_beta74            2.8753661605395781E-01  -4.0565869912293835E-02   3.7132205831960281E-03
  BC_beta75            1.1685827284361790E-01   5.4630667244295959E-02   2.3522287432773585E-03
  BC_beta76            2.6394032951945738E+00   4.3838305700718647E-03   4.3785995308869528E-02
  BC_beta77            7.9948156641939838E-01   3.5030153532745439E-02   5.0299172287962901E-03
  BC_beta78            2.1876238161389910E-01  -1.1001672034215504E-01   9.9484980115507990E-04
  BC_beta79           -1.7171272146414129E-01   9.7622853706098526E-03   5.7526591239898256E-03
  BC_beta80           -7.2282175353313849E-01   7.5844806464269382E-03   7.5459332341479488E-03
  BC_beta81            4.0000954979224455E+00   2.5146456085413843E-04   2.3116839869125578E+00
  BC_beta82            1.2885356715145400E-02   1.0366186675976559E-01   5.2479841143526539E-03
  BC_beta83           -1.3430746884506428E+00  -9.8334286160573728E-02   3.5153520895224609E-03
  BC_beta84            6.5881866742931017E-01  -4.1122847805164411E-02   5.1965096121151409E-03
  BC_beta85            2.3934537418385221E-01   2.5899411109505426E-02   3.2736104012847348E-03
  BC_beta86           -5.8921840924036503E-02  -4.6982168089707823E+00   9.7375075890581244E-04
  BC_beta87            3.3052535820370128E+00  -1.4188375366209035E-04   6.9447995359953640E-01
  BC_beta88           -2.1183003583910733E+00  -1.3675732591969214E-02   4.1504041965359513E-02
  BC_beta89            2.8982002295190892E+00  -3.2184998493720745E-03   1.6538764485448094E+00
  BC_beta90           -2.3667372688193806E+00   2.5649662873059092E-03   6.9822498497868313E-02
  BC_beta91            4.2305687882561500E+00  -1.0437639643670511E-03   2.6513564282404820E+00
  BC_beta92            2.4866555886417596E+00  -1.5184426253501989E-02   9.1112641229841876E-02
  BC_beta93            4.0773990425735889E+00  -7.9921732588117969E-06   4.2176391380164603E+01
  BC_beta94            2.2599039209608058E+00  -8.1897110449944618E-03   1.0179271801267403E-01
  BC_beta95            3.3992064897675442E+00  -3.4110126564603389E-03   1.2243581736321525E+00
  BC_beta96            1.2528131999485121E+00   1.2637466586058060E-03   4.1416834117346958E-02
  BC_beta97            3.9669022973418531E+00   2.0643870573998097E-03   1.1510486115861969E+00
  BC_beta98            1.0082511996413417E+00  -6.8412461769728650E-01   1.1926495060369592E-02
 BC_CDiag01            9.9925213682130165E-01  -6.8056807514909945E-02   1.3628445998698706E-03
 BC_CDiag02            8.1292804531376517E-01   1.5840058733939433E-01   2.8529829022375247E-03
 BC_CDiag03            9.9768400028976734E-01  -5.6033307429175738E-01   2.0451609704290731E-04
 BC_CDiag04            9.2596125192904355E-01   5.3579477112537199E-01   2.9785384234575418E-03
 BC_CDiag05            4.4051419274942866E-01  -1.2701812397680859E-01   2.5076283363684232E-03
 BC_CDiag06            9.9688349114345731E-01  -3.2178722439014358E+00   2.7797307441671188E-03
 BC_CDiag07            9.4034645577419218E-01   5.5634537161867005E-03   7.7367514840881876E-02
 BC_CDiag08            5.0925738466162551E-01  -3.0246867025723748E-04   4.1281156599407103E+00
 BC_CDiag09            9.9870414176971944E-01  -7.6798435325008806E-03   7.8659979714677419E-02
 BC_CDiag10            9.0859453501117859E-01  -3.6906305106495559E-03   1.0437121257565069E-02
 BC_CDiag11            9.9856019736504253E-01  -3.1633355003824137E-06   8.4189812411792261E+01
 BC_CDiag12            5.0150416208869875E-01   6.8935536020845918E-08   1.2977816128512413E+03
 BC_CDiag13            9.9929111975110685E-01  -5.6538926436295401E-03   2.6119274007364857E-02
 BC_CDiag14            9.9854293926693016E-01  -2.7299729917387022E-04   1.2830902246128428E-01
 BC_CDiag15            4.8224089427830508E-01  -1.9837041066266731E-01   1.9195547952967254E-03
 BC_CDiag16            4.5714496827094864E-01  -1.5325424435193991E+01   1.5198535012389909E-03
 BC_CDiag17            3.8500885891752407E-01  -9.7318643548976369E-01   2.2285054961692593E-03
