           Var. Name                       x0                        x                 Gradient
             MUE(01)       0.663914676000D+01       0.663914676000D+01      -0.319367561910D+00
             MUE(02)       0.399993986638D+01       0.399993986638D+01      -0.528776940110D-01
             MUE(03)      -0.329399247034D+01      -0.329399247034D+01      -0.203301887842D-01
             MUE(04)      -0.899278916597D+01      -0.899278916597D+01       0.660872242046D-01
             MUE(05)       0.134594808679D+01       0.134594808679D+01      -0.113589657837D-02
    mue_month(01,01)       0.000000000000D+00       0.000000000000D+00      -0.893799072167D-01
    mue_month(01,02)       0.000000000000D+00       0.000000000000D+00      -0.555337733628D-02
    mue_month(01,03)       0.000000000000D+00       0.000000000000D+00       0.203149471160D-01
    mue_month(01,04)       0.000000000000D+00       0.000000000000D+00       0.185395422041D-01
    mue_month(01,05)       0.000000000000D+00       0.000000000000D+00       0.178819978370D-01
    mue_month(01,06)       0.000000000000D+00       0.000000000000D+00      -0.757660995399D-01
    mue_month(01,07)       0.000000000000D+00       0.000000000000D+00       0.226950496467D-02
    mue_month(01,08)       0.000000000000D+00       0.000000000000D+00       0.234449624757D-01
    mue_month(01,09)       0.000000000000D+00       0.000000000000D+00       0.165292224117D-01
    mue_month(01,10)       0.000000000000D+00       0.000000000000D+00       0.225704747320D-01
    mue_month(01,11)       0.486052296525D-02       0.486052296525D-02      -0.379377414852D-01
    mue_month(02,01)       0.491488160038D-02       0.491488160038D-02       0.823356774687D-02
    mue_month(02,02)       0.494590403582D-02       0.494590403582D-02      -0.755564963783D-02
    mue_month(02,03)       0.494726062135D-02       0.494726062135D-02       0.189998646046D-01
    mue_month(02,04)       0.493973832881D-02       0.493973832881D-02       0.246438669108D-02
    mue_month(02,05)      -0.446174018189D+01      -0.446174018189D+01      -0.179980126778D-01
    mue_month(02,06)      -0.335894709048D+01      -0.335894709048D+01       0.966241478208D-03
    mue_month(02,07)       0.200200909361D+01       0.200200909361D+01      -0.674825085438D-02
    mue_month(02,08)       0.100302595884D+01       0.100302595884D+01       0.130773944590D-01
    mue_month(02,09)       0.504016561820D+00       0.504016561820D+00      -0.838753687540D-02
    mue_month(02,10)      -0.446138307698D+01      -0.446138307698D+01      -0.135905573561D-01
    mue_month(02,11)      -0.235853547825D+01      -0.235853547825D+01      -0.675138467773D-02
    mue_month(03,01)       0.300150720630D+01       0.300150720630D+01      -0.110122965816D-01
    mue_month(03,02)       0.200202452705D+01       0.200202452705D+01       0.759905620801D-02
    mue_month(03,03)       0.150240037920D+01       0.150240037920D+01      -0.407218723102D-02
    mue_month(03,04)      -0.446019654196D+01      -0.446019654196D+01      -0.128415668315D-01
    mue_month(03,05)      -0.135778000302D+01      -0.135778000302D+01      -0.491579202603D-02
    mue_month(03,06)       0.400119732597D+01       0.400119732597D+01      -0.669987687269D-02
    mue_month(03,07)       0.300151597362D+01       0.300151597362D+01       0.182325942118D-03
    mue_month(03,08)       0.250170860447D+01       0.250170860447D+01      -0.135172154679D-01
    mue_month(03,09)      -0.496044254982D+01      -0.496044254982D+01       0.701860063458D-02
    mue_month(03,10)      -0.355909377593D+00      -0.355909377593D+00      -0.432080794463D-02
    mue_month(03,11)       0.400119121198D+01       0.400119121198D+01      -0.125894952998D-01
    mue_month(04,01)       0.400121051268D+01       0.400121051268D+01      -0.140521122544D-02
    mue_month(04,02)       0.350131911797D+01       0.350131911797D+01      -0.735953626385D-02
    mue_month(04,03)      -0.496048793437D+01      -0.496048793437D+01       0.887344768993D-02
    mue_month(04,04)      -0.857342535017D+00      -0.857342535017D+00      -0.762909795423D-02
    mue_month(04,05)       0.400119714658D+01       0.400119714658D+01      -0.125598761681D-01
    mue_month(04,06)       0.500100887409D+01       0.500100887409D+01      -0.684812866140D-02
    mue_month(04,07)       0.350134974069D+01       0.350134974069D+01      -0.882076288318D-02
