           Var. Name                       x0                        x                 Gradient
             MUE(01)       0.193007040699D+01       0.192992585768D+01       0.183907934646D-01
             MUE(02)       0.434013632833D+00       0.434905903234D+00       0.506437699862D-02
             MUE(03)      -0.436566908399D+01      -0.436574327878D+01       0.192650722637D-01
             MUE(04)      -0.902039751541D+01      -0.902038295430D+01      -0.505020887916D-01
             MUE(05)      -0.166950726825D+01      -0.166958569098D+01      -0.312270047742D-01
    mue_month(01,01)       0.000000000000D+00       0.132145438870D-02       0.709286740178D-02
    mue_month(01,02)       0.000000000000D+00       0.132940673079D-02       0.171971252399D-03
    mue_month(01,03)       0.000000000000D+00       0.135268092558D-02      -0.217782975794D-02
    mue_month(01,04)       0.000000000000D+00       0.133539934361D-02      -0.141583842882D-02
    mue_month(01,05)       0.000000000000D+00       0.135013095193D-02      -0.330687969138D-02
    mue_month(01,06)       0.189404570646D-01       0.202313427377D-01       0.352367673364D-02
    mue_month(01,07)       0.194110286033D-01       0.207129985708D-01       0.440961838946D-03
    mue_month(01,08)       0.194735409844D-01       0.207618885537D-01       0.517841337473D-02
    mue_month(01,09)       0.195988817863D-01       0.209127008185D-01      -0.274006101602D-02
    mue_month(01,10)       0.196924853873D-01       0.210061488635D-01      -0.277266187796D-02
    mue_month(01,11)       0.138905971155D+00       0.140050036188D+00       0.598569433121D-02
    mue_month(02,01)       0.337398424378D+00       0.338397418137D+00       0.111533463755D-02
    mue_month(02,02)       0.393120412613D+00       0.394071288950D+00       0.123624807092D-02
    mue_month(02,03)       0.394645596419D+00       0.395616019844D+00      -0.526558023393D-02
    mue_month(02,04)       0.358602790784D+00       0.359586539866D+00      -0.493164048897D-03
    mue_month(02,05)       0.146789832645D+00       0.147917060185D+00       0.960520265134D-02
    mue_month(02,06)       0.401220566548D+00       0.402181917196D+00      -0.219455706396D-02
    mue_month(02,07)       0.379590677442D+00       0.380561232763D+00      -0.219919105082D-02
    mue_month(02,08)       0.399495883413D+00       0.400468767500D+00      -0.715587372858D-02
    mue_month(02,09)       0.368707902303D+00       0.369691973791D+00      -0.443678088932D-02
    mue_month(02,10)      -0.421672055716D+00      -0.420797542277D+00       0.118757542882D-01
    mue_month(02,11)      -0.109084140316D+00      -0.107878963070D+00      -0.383484452395D-02
    mue_month(03,01)      -0.867402597279D-01      -0.854948527688D-01      -0.830879477544D-02
    mue_month(03,02)      -0.407023192614D-01      -0.394728510439D-01       0.454898170226D-03
    mue_month(03,03)      -0.129034541792D+00      -0.127871961684D+00      -0.342076550839D-03
    mue_month(03,04)       0.688699972124D-01       0.700685897840D-01       0.122084376507D-01
    mue_month(03,05)       0.403575079280D+00       0.404563539725D+00      -0.134420161638D-01
    mue_month(03,06)       0.861530873655D+00       0.862226836303D+00       0.579310696304D-02
    mue_month(03,07)       0.924000081221D+00       0.924698182867D+00      -0.210352189815D-02
    mue_month(03,08)       0.885842265607D+00       0.886558840373D+00      -0.372472256446D-02
    mue_month(03,09)       0.532524898760D+00       0.533355202759D+00       0.118737900319D-01
    mue_month(03,10)       0.761780623972D+00       0.762536626856D+00      -0.899548524186D-03
    mue_month(03,11)       0.191351468090D+01       0.191341347835D+01       0.730583177368D-02
    mue_month(04,01)       0.189673839312D+01       0.189664833980D+01      -0.353974515825D-02
    mue_month(04,02)       0.187513937063D+01       0.187504738061D+01      -0.211923651113D-02
    mue_month(04,03)       0.103176401443D+01       0.103149422820D+01       0.124662352545D-01
    mue_month(04,04)       0.181119357894D+01       0.181109092802D+01       0.573344354525D-02
    mue_month(04,05)       0.280500009038D+01       0.280491534636D+01       0.543156782767D-02
    mue_month(04,06)       0.291174276164D+01       0.291167861224D+01      -0.500354730855D-02
    mue_month(04,07)       0.282222047908D+01       0.282214863761D+01       0.461271881359D-03
    mue_month(04,08)       0.581283225878D+00       0.582114910358D+00       0.298072525843D-02
    mue_month(04,09)       0.267788997981D+01       0.267780303330D+01       0.126113598823D-01
    mue_month(04,10)       0.385899935324D+01       0.385892556493D+01       0.164258280153D-01
    mue_month(04,11)       0.391983671406D+01       0.391978149931D+01      -0.653369453457D-03
    mue_month(05,01)       0.388852818384D+01       0.388846914208D+01      -0.440175718405D-05
    mue_month(05,02)      -0.264376668495D+01      -0.264382380890D+01      -0.160508405425D-01
    mue_month(05,03)       0.320599992663D+01       0.320592801215D+01       0.112942492937D-01
    mue_month(05,04)       0.479702401381D+01       0.479696044878D+01       0.143412156632D-01
    mue_month(05,05)       0.492508114789D+01       0.492502855280D+01       0.549498530795D-02
    mue_month(05,06)       0.490734409462D+01       0.490729469853D+01       0.285317075459D-02
    mue_month(05,07)      -0.271262724221D+01      -0.271267860500D+01      -0.186095369718D-01
    mue_month(05,08)       0.304984853938D+01       0.304975818621D+01       0.202408259710D-01
    mue_month(05,09)      -0.269194073500D+00      -0.268118668803D+00      -0.906244776639D-02
    mue_month(05,10)       0.512141908530D+01       0.512136626635D+01       0.654112467810D-02
    mue_month(05,11)       0.588301780823D+01       0.588297174376D+01       0.479758558532D-02
        InvCDiag(01)       0.466496164464D+00       0.456562557780D+00      -0.356072911512D+00
        InvCDiag(02)       0.507701648729D+00       0.505041839748D+00      -0.179271801319D+01
        InvCDiag(03)       0.571413911204D+00       0.559766324190D+00       0.120007803129D+00
        InvCDiag(04)       0.418860061663D+00       0.417528083529D+00       0.241051582731D+01
        InvCDiag(05)       0.434164730271D+00       0.432832173333D+00       0.142366326063D+00
     InvCOffDiag(01)       0.151486199124D+01       0.150759680070D+01      -0.105107813378D+01
     InvCOffDiag(02)       0.181187688582D+01       0.180920681405D+01      -0.371835349548D+00
     InvCOffDiag(03)       0.182267088250D+01       0.182268350338D+01      -0.104891470463D+01
     InvCOffDiag(04)       0.152315557234D+01       0.152045741880D+01       0.206128657957D+00
     InvCOffDiag(05)       0.174225080956D+01       0.173958782506D+01      -0.951537532084D+00
     InvCOffDiag(06)       0.159729743885D+01       0.159379553562D+01      -0.628069719461D+00
     InvCOffDiag(07)       0.176787964853D+01       0.176763819743D+01      -0.824823929795D+00
     InvCOffDiag(08)       0.159271078673D+01       0.159134010787D+01       0.469636560615D+00
     InvCOffDiag(09)       0.166331785387D+01       0.166041257451D+01       0.163660563049D+00
     InvCOffDiag(10)       0.185276157009D+01       0.185525978770D+01      -0.249909296327D+00
         BD_beta(01)      -0.122194768066D+01      -0.122218234565D+01       0.258121979695D-01
         BD_beta(02)       0.169846938333D+01       0.169863591735D+01       0.154280134214D-02
         BD_beta(03)       0.154830452839D+01       0.154736656571D+01      -0.552332161743D+01
         BD_beta(04)       0.235814429896D+01       0.235778019240D+01       0.163665428901D+00
         BD_beta(05)       0.118760020245D+01       0.118746501452D+01      -0.148074043352D-02
         BD_beta(06)      -0.125506746302D+01      -0.125535425814D+01       0.330333947696D-01
         BD_beta(07)       0.139843814582D+01       0.140491455212D+01       0.214047951661D+02
         BD_beta(08)       0.129145410711D+01       0.128898972075D+01      -0.344694609127D-01
         BD_beta(09)       0.152167078313D+01       0.152723178848D+01      -0.241434999389D+00
         BD_beta(10)      -0.141368605948D+01      -0.142205816974D+01      -0.151242801954D-01
         BD_beta(11)      -0.256959772128D-01      -0.255395465400D-01       0.129179945714D+00
         BD_beta(12)       0.741688208907D+00       0.741914445742D+00      -0.364555677912D-02
         BD_beta(13)      -0.846952779940D+00      -0.846306833916D+00       0.309018892868D-01
         BD_beta(14)      -0.132067586732D+01      -0.132093004552D+01       0.299283798496D-01
         BD_beta(15)       0.372190918660D+00       0.372798181740D+00      -0.705354745078D-02
         BD_beta(16)      -0.507709231289D-01      -0.500762922882D-01      -0.405468684965D-01
         BD_beta(17)       0.972799759685D+00       0.973667769623D+00       0.283813908480D-01
         BD_beta(18)       0.873749203942D+00       0.880797851565D+00       0.799106975014D-01
         BD_beta(19)      -0.180737904177D+01      -0.180748637916D+01       0.461962426604D-03
         BD_beta(20)      -0.227642901936D+01      -0.227651646279D+01       0.628905729284D-02
         BD_beta(21)      -0.900834111834D-01      -0.894926806998D-01      -0.706183695901D-02
         BD_beta(22)       0.110796943390D+01       0.110768484706D+01       0.934542580180D+01
         BD_beta(23)      -0.100278154480D+01      -0.100175414474D+01       0.452277715414D-01
         BD_beta(24)       0.292679544826D+00       0.294466970256D+00       0.530674594419D-01
         BD_beta(25)      -0.137132543340D+01      -0.137155586411D+01      -0.410247881713D+00
         BD_beta(26)      -0.926936754629D+00      -0.926325755073D+00       0.269168003910D-01
         BD_beta(27)       0.129059205473D+01       0.129046012495D+01       0.120897923354D-01
         BC_beta(01)       0.400139043872D+01       0.400134696210D+01       0.246350954434D+00
         BC_beta(02)       0.567887568436D+00       0.566652015729D+00      -0.846274659549D+00
         BC_beta(03)       0.208374378125D+01       0.207921295604D+01       0.262066694240D-01
         BC_beta(04)       0.887953152335D+00       0.888480583405D+00       0.108132574704D+00
         BC_beta(05)      -0.944110086349D+00      -0.943352960552D+00       0.418933881767D-01
         BC_beta(06)       0.579214584031D+00       0.568026352741D+00      -0.326758140798D+00
         BC_beta(07)       0.404782732383D+01       0.404777751314D+01      -0.208504053930D-03
         BC_beta(08)       0.457837442816D+01       0.457832447720D+01       0.643488479917D-03
         BC_beta(09)       0.400162948400D+01       0.400157843331D+01      -0.122454957144D-02
         BC_beta(10)      -0.112977649705D-01      -0.609333692490D-02      -0.630369467878D-02
         BC_beta(11)       0.499875313923D+01       0.499870664963D+01       0.477884673694D-03
         BC_beta(12)       0.499875181252D+01       0.499870527825D+01       0.527774247390D-03
         BC_beta(13)       0.203951828258D+01       0.203941654007D+01       0.377914742731D-01
         BC_beta(14)       0.172720421392D+01       0.172707576473D+01       0.226581021784D-01
         BC_beta(15)      -0.220858956440D+00      -0.224653082058D+00      -0.173874774385D+01
         BC_beta(16)       0.116490416242D+00       0.117546325945D+00      -0.157151713096D+02
         BC_beta(17)      -0.315487066693D+00      -0.313453306873D+00      -0.866291911725D+00
         BC_beta(18)      -0.131635040667D+00      -0.131191476600D+00      -0.134636553453D+02
         BC_beta(19)      -0.787593245893D+00      -0.786741010105D+00      -0.147738398312D+00
         BC_beta(20)       0.164589277283D+01       0.164576805478D+01       0.380583919091D-01
         BC_beta(21)       0.542155590986D+00       0.543173529785D+00      -0.757743741519D-01
         BC_beta(22)       0.683963280427D+00       0.683938358119D+00       0.100266926848D+01
         BC_beta(23)       0.913358045330D+00       0.915111142906D+00      -0.955314786062D-01
         BC_beta(24)      -0.104020548017D+01      -0.102135511241D+01      -0.162336867265D+00
         BC_beta(25)       0.249516611053D+01       0.249509291763D+01       0.428955541291D-02
         BC_beta(26)       0.660699721220D+00       0.661423982508D+00      -0.257827214624D+00
         BC_beta(27)       0.499877103499D+01       0.499872456330D+01       0.438936871223D-03
         BC_beta(28)      -0.988900504717D+00      -0.987964150504D+00      -0.829028306779D-03
         BC_beta(29)       0.944746563922D+00       0.945413024983D+00       0.788333347850D-02
         BC_beta(30)       0.830352608257D+00       0.829847441529D+00      -0.669837242855D-02
         BC_beta(31)      -0.192294432531D+01      -0.192292041378D+01      -0.598238265817D-01
         BC_beta(32)       0.499876418476D+01       0.499871738138D+01       0.546932255777D-03
         BC_beta(33)       0.499877185944D+01       0.499872540047D+01       0.446496552986D-03
         BC_beta(34)      -0.429565992778D+00      -0.426012582745D+00       0.831251078249D-01
         BC_beta(35)       0.341426889529D+01       0.341420656384D+01       0.900933831818D-03
         BC_beta(36)      -0.616974792955D+00      -0.616357456651D+00      -0.629040539364D+00
         BC_beta(37)       0.296081631627D+01       0.296075242621D+01      -0.378748036212D-02
         BC_beta(38)      -0.165679789427D+00      -0.164628122398D+00      -0.104539667903D+01
         BC_beta(39)       0.329747084942D+01       0.329742171241D+01      -0.137941525312D-01
         BC_beta(40)       0.416249406436D+01       0.416244709096D+01      -0.584460641130D-02
         BC_beta(41)       0.574043548291D+00       0.574713005335D+00      -0.162242926064D-01
         BC_beta(42)       0.598468055841D+00       0.598643625219D+00      -0.101508031868D+00
         BC_beta(43)       0.334123399346D+01       0.334117086474D+01      -0.429804983655D-02
         BC_beta(44)       0.407867122424D+01       0.407861436000D+01      -0.694741877538D-04
         BC_beta(45)       0.478241045249D+01       0.478236049742D+01       0.381023095978D-02
         BC_beta(46)       0.399900588365D+01       0.399827281204D+01      -0.221732760257D+00
         BC_beta(47)       0.283629899741D+01       0.283621467141D+01       0.792898173299D-02
         BC_beta(48)       0.138669350247D+01       0.138630775497D+01       0.321206046650D-01
         BC_beta(49)       0.683793529625D+00       0.684677805066D+00      -0.290734748597D-01
         BC_beta(50)       0.358715057655D+00       0.359979748115D+00       0.100174871762D+00
         BC_beta(51)       0.264249275157D+01       0.265417340825D+01       0.671037282167D-02
         BC_beta(52)       0.186954521968D+01       0.186933247455D+01      -0.348951844094D+00
         BC_beta(53)       0.943384786895D+00       0.943963429372D+00       0.377116815980D-01
         BC_beta(54)       0.102912036350D+01       0.104772060751D+01      -0.238453922288D+00
         BC_beta(55)       0.124204814544D+01       0.124180871641D+01      -0.158806154179D+00
         BC_beta(56)       0.156678396198D+01       0.156654994872D+01      -0.181554777397D-01
         BC_beta(57)      -0.186897114898D-01      -0.164707507776D-01      -0.388793887628D-01
         BC_beta(58)      -0.392040199689D-01      -0.377689730002D-01      -0.118823959569D-01
         BC_beta(59)       0.217995424488D+01       0.217969460365D+01      -0.102748295382D-01
         BC_beta(60)       0.420471868068D+01       0.420466496084D+01      -0.565999674191D-02
         BC_beta(61)       0.104213476184D+01       0.106052609361D+01      -0.315085438813D-01
         BC_beta(62)       0.857096028992D+00       0.876732907080D+00      -0.710198187750D-01
         BC_beta(63)       0.499877416495D+01       0.499872763185D+01       0.526771742774D-03
         BC_beta(64)      -0.206424388220D+00      -0.205349489881D+00       0.861501601414D-02
         BC_beta(65)       0.358355606132D+01       0.358349227128D+01       0.948324132257D-03
         BC_beta(66)       0.400160231035D+01       0.400154647528D+01       0.648103398092D-03
         BC_beta(67)       0.366924101189D+01       0.366918231488D+01       0.654068977246D-03
