            Variable                     Coef                 Gradient                     s.e.
MUE_01                 2.4975193551830719E+00   3.3009545254486191E+01   1.0010762221377965E-01
MUE_02                 1.1737984698901154E+00   3.3008027765284226E+01   1.1004967739360857E-01
MUE_03                 5.2722309683114400E-02   3.3021328390116125E+01   1.2755437260785293E-01
MUE_04                -8.4689962964648202E-01   3.3017027668246122E+01   1.8279165572423570E-01
MUE_05                -1.0670506185592590E+00   3.3049301819234451E+01   1.2308871189862253E-01
MUE_month_01           0.0000000000000000E+00   3.3020169077428513E+01   1.4623657425447667E-01
MUE_month_02           0.0000000000000000E+00   3.3028147459951256E+01   1.3667595606457258E-01
MUE_month_03           0.0000000000000000E+00   3.3023313780129698E+01   1.7095086589028938E-01
MUE_month_04           0.0000000000000000E+00   3.3023823918627677E+01   2.3557930801334337E-01
MUE_month_05           0.0000000000000000E+00   3.3028614432329292E+01   1.7204250036265545E-01
MUE_month_06           2.7155808813699999E-05   3.3023502096874964E+01   1.4151510087294378E-01
MUE_month_07           2.7160822760200001E-05   3.3021484140567466E+01   1.4780942926625429E-01
MUE_month_08           2.7157748319500002E-05   3.3030033993461224E+01   1.7387408917709329E-01
MUE_month_09           2.7158109056899999E-05   3.3028936982013107E+01   2.1492433994124335E-01
MUE_month_10           2.7161178397499999E-05   3.3027025347357224E+01   1.6047869516500646E-01
MUE_month_11           2.7157739563699999E-05   3.3018909304476324E+01   1.5249321462730855E-01
MUE_month_12           2.7157090637800001E-05   3.3026948518150022E+01   1.6337363106220421E-01
MUE_month_13           2.7161482234099999E-05   3.3022006392286066E+01   1.8171312656698324E-01
MUE_month_14           2.7161560390700000E-05   3.3023801064204584E+01   2.6373630645150853E-01
MUE_month_15           2.7159957850099999E-05   3.3029146409700815E+01   1.7788115874840638E-01
MUE_month_16           5.3209622714255004E-03   3.3018936621732365E+01   1.3639202164430328E-01
MUE_month_17           5.3244162108476000E-03   3.3029611999078099E+01   1.4910982284982213E-01
MUE_month_18           5.3219005737701998E-03   3.3024184248759802E+01   1.6390403115324037E-01
MUE_month_19           5.3218795492186999E-03   3.3028208889250195E+01   2.1973300006404609E-01
MUE_month_20           5.3231879250669996E-03   3.3027257220009375E+01   1.6914104079816228E-01
MUE_month_21          -9.4215153760625295E-02   3.3016228431299716E+01   1.3798958019611313E-01
MUE_month_22          -1.0244454231537499E-02   3.3028384522207546E+01   1.4499034611674008E-01
MUE_month_23           8.5017934579626600E-02   3.3021504199449353E+01   1.5791873242376306E-01
MUE_month_24           1.3362868588719110E-01   3.3025581804199994E+01   2.6516586227296407E-01
MUE_month_25           1.8657017792169511E-01   3.3028441385351293E+01   1.6726181973339777E-01
MUE_month_26           1.9426097050288571E-01   3.3015881935622495E+01   1.3290413722925817E-01
MUE_month_27           3.6862784000400400E-01   3.3027726472033393E+01   1.4930547369279210E-01
MUE_month_28           1.3399476493926636E+00   3.3018433060166842E+01   1.7313900013437328E-01
MUE_month_29           1.0639058718839407E+00   3.3026475907325619E+01   2.3798467368883280E-01
MUE_month_30           8.7618638017236283E-01   3.3028905549443827E+01   1.5191861190929190E-01
MUE_month_31           4.5326662366321302E-01   3.3017926874181057E+01   1.5304547136938224E-01
MUE_month_32           2.4032510866903207E+00   3.3018975118404164E+01   1.5734491949003931E-01
MUE_month_33           1.6292007635842545E+00   3.3024469314305783E+01   1.6739645374865192E-01
MUE_month_34           1.6385147013379771E+00   3.3022026875829631E+01   2.2326038453869304E-01
MUE_month_35           1.7145717275601606E+00   3.3025059965341619E+01   1.6067045463826554E-01
MUE_month_36           1.2175358190061978E+00   3.3016017218425112E+01   1.5033282484697272E-01
MUE_month_37           6.0651846313869742E+00   3.3017107766131907E+01   1.6354889670632106E-01
MUE_month_38           5.9370332712444212E+00   3.3020977716495430E+01   1.8426995595188600E-01
MUE_month_39           5.8212420832804659E+00   3.3021078500037611E+01   3.0375537962766630E-01
MUE_month_40           6.1370776941608982E+00   3.3017411010426123E+01   1.7643274770110565E-01
MUE_month_41          -5.7438643676868697E+00   3.3034865533535950E+01   1.4169166388936713E-01
MUE_month_42           3.5041574421996295E+00   3.3010135229990688E+01   1.6090315637228028E-01
MUE_month_43           4.3225199245474073E+00   3.3032269663728691E+01   1.9449231396076155E-01
MUE_month_44           4.6248208609060022E+00   3.3020168394197590E+01   2.9331374398636251E-01
MUE_month_45           5.0485667959774032E+00   3.3021660706990239E+01   1.9654953387443425E-01
MUE_month_46          -5.3320159237155700E+00   3.3036993524553971E+01   1.3909424887611554E-01
MUE_month_47           3.3723980494103816E+00   3.3019923159608688E+01   1.7093512282629161E-01
MUE_month_48           4.2503656249104713E+00   3.3021327637413115E+01   1.9740847044148480E-01
MUE_month_49           2.8354897944936472E+00   3.3020071199130861E+01   2.5176505221774687E-01
MUE_month_50           4.0376897276717694E+00   3.3025285565536819E+01   1.8528571823052450E-01
MUE_month_51          -4.2623631641588888E+00   3.3036551547095101E+01   1.4508028205111684E-01
MUE_month_52           3.5664565754541218E+00   3.3019026025730795E+01   1.7196247174217952E-01
MUE_month_53           3.2964764635397645E+00   3.3021667392668824E+01   1.8801154533264031E-01
MUE_month_54           3.1376312159514059E+00   3.3019092604919301E+01   2.5741010502089401E-01
MUE_month_55           3.4239908769819256E+00   3.3028246221530125E+01   1.6981949081961970E-01
INVCDia01              3.0809156689031481E-01   3.1445341022613196E+01   1.3970774480684353E-03
INVCDia02              3.1104278987579875E-01   3.1772384676513003E+01   1.3069022923621176E-03
INVCDia03              3.2731043480330435E-01   3.2549783022680487E+01   1.5736430423611996E-03
INVCDia04              2.7393799430045873E-01   3.2948389534913041E+01   1.8879356631110059E-04
INVCDia05              8.5187439904889384E-01   3.2629637780435139E+01   7.8064503553535343E-03
INVCOffDi01            1.6862051075968822E+00   3.2842557925790508E+01   4.3159431255447916E-03
INVCOffDi02            1.3910540233719919E+00   3.2905416421977868E+01   4.1642365493818403E-03
INVCOffDi03            1.6333592402803208E+00   3.2972693586187447E+01   3.6778420218220829E-03
INVCOffDi04            1.5989937340746327E+00   3.2916362205391444E+01   5.0139107113202101E-03
INVCOffDi05            1.5424279294623136E+00   3.2762785342084200E+01   3.4165383360855901E-03
INVCOffDi06            1.5573491204980812E+00   3.2681025091570312E+01   3.5888094586334213E-03
INVCOffDi07            1.4284097726958489E+00   3.3033327496029024E+01   2.9695049965447174E-03
INVCOffDi08            1.6580156427168131E+00   3.2975571257442027E+01   3.2836501995000046E-03
INVCOffDi09            1.6639519618000937E+00   3.3178302765685274E+01   3.9332834722907977E-03
INVCOffDi10            1.5457793328408043E+00   3.0646427423825500E+01   3.5668982112468852E-03
  BC_beta01            1.7138451950704860E+00   3.2971928242539533E+01   1.1259415965071729E-02
  BC_beta02           -1.2091692134154780E-01   3.3030544273881681E+01   8.5772117150423738E-03
  BC_beta03            1.3319584931567197E+00   3.5269373567544413E+01   1.1185892669228743E-02
  BC_beta04            1.2045947342182519E+00   3.2756213077521181E+01   1.5898286355983178E-02
  BC_beta05           -6.4819160319714886E-01   3.3291574903807870E+01   8.0277617399902267E-03
  BC_beta06            1.9423290990707989E+00   3.3027437417134969E+01   3.8626445334580678E-02
  BC_beta07            7.8484643898392259E-01   3.2980285363324292E+01   1.4856056414748407E-02
  BC_beta08           -1.0239369571247541E+00   3.2927317541588714E+01   1.7982131790728623E-02
  BC_beta09            2.0000000000000000E+00   3.3020125920299918E+01   1.6312266874196410E-01
  BC_beta10           -1.1090780697119260E-01   3.3051907095118750E+01   3.3969613737547186E-02
  BC_beta11            2.0000000000000000E+00   3.3024248868320825E+01   2.9436008009423709E-01
  BC_beta12            2.0000000000000000E+00   3.3019610807227416E+01   8.4055796483764073E-02
  BC_beta13            1.8985543852044895E+00   3.3024279396107133E+01   1.6439629896591351E-01
  BC_beta14            1.3909177010938534E+00   3.3028530198621382E+01   1.5372072638666681E-01
  BC_beta15           -7.0922208141331078E-01  -3.2249266498938752E+01   8.6159769077019527E-03
  BC_beta16           -5.0906599428236543E-01   3.5278644169183671E+01   6.5328770007889551E-03
  BC_beta17            1.6702600030548487E+00   3.2866452863750467E+01   1.1734366015637238E-02
  BC_beta18            1.9998917784836920E+00   3.2986359704792314E+01   2.2205993823289444E-02
  BC_beta19            3.5186878496885737E-01   3.3042517643202913E+01   9.9410977148063854E-03
  BC_beta20           -1.0394249018624577E+00  -3.4466131411039036E+01   7.7791851214302358E-03
  BC_beta21            2.0000000000000000E+00   3.3029379531573461E+01   3.4225130553489032E-02
  BC_beta22            7.2026257588427134E-01   3.2992032309825881E+01   1.1702403344281064E-02
  BC_beta23            1.5027078870422497E+00   3.2971668928500549E+01   1.3920563375013795E-02
  BC_beta24           -1.0416078049339081E+00   3.3072250494553955E+01   8.3049293968022256E-03
  BC_beta25            1.9982636166110530E+00   3.3476638573505248E+01   2.0838466060778774E-02
  BC_beta26            1.7622440317101107E+00   3.5305938219988541E+01   2.7147314825959754E-02
  BC_beta27            1.9981447344258854E+00   3.3039983511895109E+01   1.2883557182366512E-01
  BC_beta28           -1.1943202987973800E-01   3.3082170799131632E+01   1.0964931916522173E-02
  BC_beta29            1.2765937058030328E+00   3.3024279529191716E+01   2.9525115474724299E-02
  BC_beta30            4.1918854503763631E-01   3.3062399545528820E+01   1.9930395368412610E-02
  BC_beta31           -1.7681627217497629E+00   3.2959499130999987E+01   1.2461128571165750E-02
  BC_beta32            5.0927128615655459E-01   3.3007048927569947E+01   1.9967495366841434E-02
  BC_beta33            2.0000000000000000E+00   3.3059205137184271E+01   4.5319822875377586E-02
  BC_beta34           -1.7012558416531151E-01   3.2997952577476987E+01   1.4789088745568923E-02
  BC_beta35            5.0350551474016936E-01   3.3018443225879167E+01   3.2855310388445066E-02
  BC_beta36            7.5271687784909935E-01   3.3034612137914714E+01   3.3322009915105762E-02
  BC_beta37            1.6396310301906007E+00   3.3007882239609835E+01   3.2371410005480675E-02
  BC_beta38           -8.5332284237596145E-01   3.3004686179090690E+01   3.2794248537310701E-02
  BC_beta39            1.9984599300480008E+00   3.3015637321088853E+01   3.5936919434262843E-01
  BC_beta40            1.9986150957973359E+00   3.3023825748150429E+01   1.3593388299788972E-01
  BC_beta41           -3.3793327381377858E-01   3.3029665942369505E+01   4.0214186361648724E-02
  BC_beta42            1.6796314155767118E+00   3.3023827791912076E+01   3.5747827937735766E-01
  BC_beta43            1.9980852091261307E+00   3.3024598538288615E+01   1.4520285300452649E+00
  BC_beta44            1.1812203841025153E+00   3.3023544661495499E+01   3.9638213995351973E-01
  BC_beta45            2.0000000000000000E+00   3.3022506576093612E+01   9.1112652743148781E-01
  BC_beta46            1.3148536053335491E+00   3.3030916067159431E+01   1.2625179663319004E+00
  BC_beta47            1.5751180442381019E-01   3.3024709412592401E+01   3.1974716168066991E-02
  BC_beta48            1.6251752682211500E-02   3.3017871400776045E+01   1.6974650584882664E-02
  BC_beta49            1.9993676553542481E+00   3.3058144310536846E+01   5.1682513439406157E-02
  BC_beta50            7.8959261744745024E-01   3.3048062806936400E+01   2.5219490875882291E-03
  BC_beta51            1.1888962707072139E+00   3.3058753002502073E+01   1.7358232006126316E-02
  BC_beta52           -9.6192051497441255E-01   3.3020135998220631E+01   8.9175314399675253E-03
  BC_beta53            1.3156824610011200E+00   3.3043673129251161E+01   2.0469892454943010E-02
  BC_beta54            3.3381292760269632E-01   3.2980933344588991E+01   9.4374474324291930E-03
  BC_beta55           -1.9733763829191184E+00   3.3109976501660896E+01   2.5319375058457830E-02
  BC_beta56            9.6689717284517096E-01   3.3002440896800948E+01   2.8054184936091221E-02
  BC_beta57            1.8283570579644306E+00   3.3008643178508827E+01   3.8423433475974454E-02
  BC_beta58            5.4496344292084675E-01   3.3034502258280632E+01   1.9980978721503166E-02
  BC_beta59            1.9977167180264941E+00   3.3046284677785970E+01   5.7793426243289987E-02
  BC_beta60           -6.3030739224901655E-01   3.3115242122706327E+01   1.6878838080778214E-02
  BC_beta61           -1.0269995851426740E-01   3.3112977449246898E+01   1.9215023095738457E-02
  BC_beta62            1.9962128519367168E+00   3.3038105716284583E+01   1.0850747114470713E-01
  BC_beta63            1.9984139129320768E+00   3.3024934731984310E+01   1.2839996679797225E+00
  BC_beta64            1.9984306376341099E+00   3.3023691320861339E+01   9.1291156002415452E-01
  BC_beta65            1.9984940268798745E+00   3.3023888520112735E+01   5.5657745561675365E-01
  BC_beta66            1.9983712783509018E+00   3.3023992507034059E+01   1.3602197877766549E+00
  BC_beta67            2.7252372703676192E-01   3.3028689191209736E+01   2.9299881165873776E-01
  BC_beta68            2.0000000000000000E+00   3.3022768076507177E+01   1.3462773114401421E+00
  BC_beta69            1.6312027383483720E+00   3.3025506983139778E+01   3.4002464274992250E-01
  BC_beta70            1.9980631152019424E+00   3.3026417476141368E+01   1.1458642702601347E+00
  BC_beta71            1.3720357809639239E+00   3.3027310267970556E+01   6.8661246219784935E-02
  BC_beta72            7.4384359909484898E-01   3.3008655675526562E+01   2.6891899400674463E-02
  BC_beta73           -8.2919959795036424E-01   3.2955058126442786E+01   2.2434941251553202E-02
  BC_beta74           -1.8071908455903279E-01   3.3016034469489512E+01   1.9643621611691978E-02
  BC_beta75           -1.5607115444975209E-01   3.3057862031226094E+01   1.3916150094144595E-02
  BC_beta76            1.5691688561729191E+00   3.2998638804571698E+01   1.8185335198791022E-02
  BC_beta77            1.9978573388204537E+00   3.3041608355307787E+01   3.6837295480700916E-02
  BC_beta78            4.6235071280722650E-01   3.3048388137131312E+01   1.0275363272334477E-02
  BC_beta79            1.9978906872448163E+00   3.5346396371769060E+01   6.0182954187327005E-02
  BC_beta80           -2.5568549573177379E-01   3.3031180591701833E+01   1.2344612498420941E-02
  BC_beta81            2.0000000000000000E+00   3.5299142450483664E+01   5.2267350868770115E-02
  BC_beta82           -1.5421229909046059E+00   3.2959455275139625E+01   7.6248321003190497E-02
  BC_beta83            9.5864806706735008E-03   3.5289485833965166E+01   1.1889565825129527E-02
  BC_beta84            2.0000000000000000E+00   3.5318609293781911E+01   5.5670153485748816E-02
  BC_beta85            7.3045652327738075E-01   3.3005273225191409E+01   1.6501927883729100E-02
  BC_beta86           -5.0582896175928904E-01   3.3069328048259251E+01   1.0411591116321154E-02
  BC_beta87            1.9984484811977294E+00   3.3023657257706965E+01   5.6503232196368502E-01
  BC_beta88            1.9980217307077441E+00   3.3017764953294289E+01   4.5278847954912216E-01
  BC_beta89            2.0000000000000000E+00   3.3025157551692580E+01   3.5496148723558818E-01
  BC_beta90            6.2760434372332019E-01   3.3025892602485413E+01   5.4316430398388467E-02
  BC_beta91            1.9984354345386064E+00   3.3021947942827090E+01   2.0937191000292432E-01
  BC_beta92           -4.5668055641170019E-01   3.3025641409783809E+01   8.4412081393072366E-02
  BC_beta93            1.5109718940396628E+00   3.3024454583454634E+01   3.1500254178706721E-01
  BC_beta94            1.9982716597006249E+00   3.3342311155190785E+01   2.6032483920234752E-04
  BC_beta95            1.8984669437527060E-01   3.3030694422848264E+01   2.7664303887419472E-01
  BC_beta96           -2.1748794168550981E-01   3.3021167324868678E+01   1.1820430735157529E-01
  BC_beta97            2.0000000000000000E+00   3.3019177415093417E+01   2.3391833641011564E-01
  BC_beta98            1.9987821174715572E+00   3.3025138110778244E+01   3.9523945159715673E-01
 BC_CDiag01            6.4007348084970828E-01   3.3012513375891217E+01   2.3484153735843939E-03
 BC_CDiag02            4.9185532132607690E-01   3.5585611674252029E+01   3.0166120162870569E-03
 BC_CDiag03            2.2107271937520873E-01   3.3027393982062740E+01   5.9592796092814973E-03
 BC_CDiag04            6.3235085723099882E-01   3.3204429185160599E+01   1.4056539933025304E-02
 BC_CDiag05            5.4975803292098036E-01   3.2866484846763910E+01   7.5372281866636802E-03
 BC_CDiag06            6.6340511561657833E-01  -3.4483314734861786E+01   1.6620290766661900E-02
 BC_CDiag07            5.5131559638542049E-01   3.3035799893519844E+01   3.0212272197391626E-02
 BC_CDiag08            5.1734594600705819E-01   3.2986565438708823E+01   1.9796987671344361E-02
 BC_CDiag09            8.5294483347682681E-01   3.3045515499826038E+01   1.0310946597225275E-01
 BC_CDiag10            5.3390809976499465E-01   3.3053988420967819E+01   2.9219729578850231E-02
 BC_CDiag11            1.2000000000000002E+00   3.3024587438402634E+01   2.3436927671813765E-01
 BC_CDiag12            1.1999876576837951E+00   3.3026654458951370E+01   1.5049782400524711E-01
 BC_CDiag13            1.2000000000000000E+00   3.3023013187603901E+01   1.7682947443074518E-01
 BC_CDiag14            5.9073294828382761E-01   3.3023756179857742E+01   1.5507896615155389E-01
 BC_CDiag15            5.1711005987245240E-01  -3.4575757382039306E+01   5.5014058635923331E-03
 BC_CDiag16            4.8141973918110037E-01  -3.4594524077974214E+01   4.4025408358885822E-03
 BC_CDiag17            8.5768213351186029E-01  -3.1921994144409105E+01   6.9169728663260582E-03
 BC_CDiag18            4.7324016417818071E-01   3.5348811287686942E+01   1.0480730293077672E-02
 BC_CDiag19            4.7952166156441856E-01  -3.4786193303349634E+01   6.3302019611432029E-03
 BC_CDiag20            5.2549371578528359E-01   3.2924092409669491E+01   7.1440240806675825E-03
 BC_CDiag21            5.5798909515697592E-01   3.3022042848561597E+01   3.0959284322984094E-02
